P(strict DER) 20B = 2^-46.310   32B = 2^-45.367
with an on-curve requirement on r (CHECKSIGVERIFY puzzle) each is ~1 bit harder

reference: paper Config A, RIPEMD, recounted: honest 2^48.89 shots, pre-image 116.3 bits
reference: paper Config A, SHA256, recounted: honest 2^47.95 shots, pre-image 113.5 bits

config                              ops  bytes stack     E1     E2  p1p2  honest pre-img collis
2-STAGE TS2 n150 t16 kpin300 k1=64 comp deep RIPEMD  198   8574   653 2010457526.9    nan  1.00 2^47.31    85.6   81.4
2-STAGE TS2 n150 t16 kpin300 k1=64 comp deep SHA256  198   8574   653 3865145507.6    nan  1.00 2^46.37    83.7   80.5
2-STAGE TS2 n150 t16 kpin300 k1=32 comp deep RIPEMD  198   8574   653 1005228763.4    nan  1.00 2^47.31    86.6   81.4
2-STAGE TS2 n150 t16 kpin300 k1=32 comp deep SHA256  198   8574   653 1932572753.8    nan  1.00 2^46.37    84.7   80.5
2-STAGE n250 t16 k127 (k1=8) RIPEMD  196   9591   680 3750244497445.5    nan  1.00 2^47.31    87.0   87.6
2-STAGE n250 t16 k127 (k1=8) SHA256  196   9591   680 7209921362740.4    nan  1.00 2^46.37    85.1   86.6
2-STAGE n250 t16 k127 (k1=24) RIPEMD  196   9592   680 11250733492336.4    nan  1.00 2^47.31    85.5   87.6
2-STAGE n250 t16 k127 (k1=24) SHA256  196   9592   680 21629764088221.1    nan  1.00 2^46.37    83.6   86.6
n140 t7+1b/8 k24 RIPEMD             201   9397   638   39.4   4.93  0.99 2^47.90   117.2   83.0
n140 t7+1b/8 k24 SHA256             201   9397   638   75.8   9.48  1.00 2^46.95   114.4   81.9
n145 t7+1b/8 k16 RIPEMD             201   9616   650   35.1   4.38  0.99 2^47.91   118.4   83.4
n145 t7+1b/8 k16 SHA256             201   9616   650   67.4   8.42  1.00 2^46.95   115.6   82.3
n148 t7+1b/8 k12 RIPEMD             201   9758   658   31.1   3.89  0.98 2^47.91   119.3   83.7
n148 t7+1b/8 k12 SHA256             201   9758   658   59.8   7.47  1.00 2^46.95   116.4   82.6
n140 t8/7 k64 RIPEMD                196   9824   676   13.1   0.79  0.55 2^48.53   121.8   87.0
n140 t8/7 k64 SHA256                196   9824   676   25.3   1.52  0.78 2^47.20   118.9   85.5
n145 t8/7 k40 RIPEMD                196   9870   672   11.0   0.64  0.47 2^48.70   123.1   87.6
n145 t8/7 k40 SHA256                196   9870   672   21.1   1.22  0.71 2^47.31   120.3   86.1
n150 t8/7 k24 RIPEMD (OVER 10,000 B: invalid)  196  10004   676    8.7   0.49  0.38 2^48.94   124.6   88.2
n150 t8/7 k24 SHA256 (OVER 10,000 B: invalid)  196  10004   676   16.7   0.93  0.61 2^47.47   121.8   86.6
n136 t8/7 k96 (k1=16) RIPEMD        196   9927   692    2.6   0.96  0.57 2^48.44   123.2   86.7
n136 t8/7 k96 (k1=16) SHA256        196   9927   692    5.0   1.85  0.84 2^47.12   120.3   85.2
n130 t8/7 k127 (k1=8) RIPEMD        196   9889   699    0.9   0.92  0.36 2^48.76   123.8   86.6
n130 t8/7 k127 (k1=8) SHA256        196   9889   699    1.7   1.77  0.68 2^47.24   120.9   84.9
